a bright start to the day;freundliches Wetter in der Frühe;Geography (MSW);Englisch
a strong breeze;eine starke Brise;Geography (MSW);Englisch
a wet day  <-->  a fine day;ein Regentag  <-->  ein schöner Tag;Geography (MSW);Englisch
above / below see-level;über / unter dem Meeresspiegel;Geography (MSW);Englisch
active  <-->  inactive;aktiv, tätig  <-- >  inaktiv;Geography (MSW);Englisch
agriculture;Landwirtschaft;Geography (MSW);Englisch
air;Luft;Geography (MSW);Englisch
Albania, the Albanians, Albanian;Albanien, die Albaner, albanisch;Geography (MSW);Englisch
all day;den ganzen Tag;Geography (MSW);Englisch
all night;die ganze Nacht;Geography (MSW);Englisch
area;"Gebiet, Region; Fläche";Geography (MSW);Englisch
at night;nachts, in der Nacht;Geography (MSW);Englisch
Austria, the Austrians, Austrian;Österreich, die Österreicher, österreichisch;Geography (MSW);Englisch
autumn;Herbst;Geography (MSW);Englisch
base;Basis, Fuß;Geography (MSW);Englisch
bay;Bucht;Geography (MSW);Englisch
beach;Strand;Geography (MSW);Englisch
Belgium, the Belgians, Belgian;Belgien, die Belgier, belgisch;Geography (MSW);Englisch
below / above freezing point  --  to *freeze;unter / über Null  --  (ge)frieren;Geography (MSW);Englisch
blizzard;heftiger Schneesturm;Geography (MSW);Englisch
blossom;(einzelne) Blüte;Geography (MSW);Englisch
border;Grenze;Geography (MSW);Englisch
Bosnia-Herzegovina, the Bosnians, Bosnian;Bosnien-Herzegowina, die Bosnier, bosnisch;Geography (MSW);Englisch
Britain;Britannien;Geography (MSW);Englisch
building;Gebäude, Haus;Geography (MSW);Englisch
Bulgaria, the Bulgarians, Bulgarian;Bulgarien, die Bulgaren, bulgarisch;Geography (MSW);Englisch
business;Geschäft, Betrieb;Geography (MSW);Englisch
by hand;mit der Hand, von Hand;Geography (MSW);Englisch
Byelorussia, the Byelorussians, Byelorussian;Weißrussland, die Weißrussen, weißrussisch;Geography (MSW);Englisch
canal;Kanal;Geography (MSW);Englisch
capital;Hauptstadt;Geography (MSW);Englisch
cattle ranch;Viehfarm;Geography (MSW);Englisch
cave;Höhle;Geography (MSW);Englisch
chemical;chemisch, Chemie-;Geography (MSW);Englisch
cliff;Klippe, Felsen;Geography (MSW);Englisch
climate;Klima;Geography (MSW);Englisch
cloudy  <-->  sunny;wolkig, bewölkt  <-->  sonnig;Geography (MSW);Englisch
coal;Kohle;Geography (MSW);Englisch
coal-mining  -- coal mine;Kohlenbergbau  -- Kohlenbergwerk;Geography (MSW);Englisch
coast;Küste;Geography (MSW);Englisch
coastline;Küstenlinie;Geography (MSW);Englisch
commuter  --  to commute;Pendler/in  -- pendeln;Geography (MSW);Englisch
company;(Handels-) Gesellschaft, Firma;Geography (MSW);Englisch
continent;Kontinent;Geography (MSW);Englisch
cost of living  -- to *cost sth;Lebenshaltungskosten --  etwas kosten;Geography (MSW);Englisch
cotton;Baumwolle;Geography (MSW);Englisch
country;Land;Geography (MSW);Englisch
countryside;Land (schaft);Geography (MSW);Englisch
Croatia, the Croats, Croatian;Kroatien, die Kroaten, kroatisch;Geography (MSW);Englisch
crop;Feldfrucht;Geography (MSW);Englisch
crowded  --  (a) crowd;überfüllt  --  Menschenmenge;Geography (MSW);Englisch
Cyprus, the Cypriots, Cypriot;Zypern, die Zyprioten, zyprisch;Geography (MSW);Englisch
dairy farming;Milchwirtschaft;Geography (MSW);Englisch
dam;Damm;Geography (MSW);Englisch
damage  -- to damage sth;Schaden  --  etwas beschädigen;Geography (MSW);Englisch
deep  --  depth;tief  -- Tiefe;Geography (MSW);Englisch
degree (centigrade);Grad (Celsius);Geography (MSW);Englisch
demand (for sth);Nachfrage (nach etwas);Geography (MSW);Englisch
Denmark, the Danes, Danish;Dänemark, die Dänen, dänisch;Geography (MSW);Englisch
desert;Wüste;Geography (MSW);Englisch
disaster;Katastrophe;Geography (MSW);Englisch
distance  -- distant;Entfernung, Ferne  --  (weit) entfernt;Geography (MSW);Englisch
distant  --  distance;(weit) entfernt  --  Entfernung, Ferne;Geography (MSW);Englisch
district;Bezirk, Gegend;Geography (MSW);Englisch
docks;Hafenanlagen;Geography (MSW);Englisch
drizzle;Nieselregen;Geography (MSW);Englisch
drought;Trockenperiode, Dürre;Geography (MSW);Englisch
dull  <-->  bright;trüb, bewölkt  <-->  heiter, freundlich;Geography (MSW);Englisch
during the day;am Tag;Geography (MSW);Englisch
earthquake;Erdbeben;Geography (MSW);Englisch
eastern, east, East;östlich, Osten, Ost-;Geography (MSW);Englisch
economy;Wirtschaft;Geography (MSW);Englisch
electronics;Elektronik;Geography (MSW);Englisch
enormous;riesig;Geography (MSW);Englisch
equator;Äquator;Geography (MSW);Englisch
equipment (singular only);Ausstattung, Ausrüstung;Geography (MSW);Englisch
