accepted;anerkannt, akzeptiert;Relationship and problems(MSW);Englisch
addiction;Sucht;Relationship and problems(MSW);Englisch
adult (noun/adj.) =  grown-up (noun/adj.);Erwachsene/r, erwachsen;Relationship and problems(MSW);Englisch
advice (singular only!)  --  to advice s.o. to do sth.;Rat  --  jdm. raten etwas zu tun;Relationship and problems(MSW);Englisch
alcoholic  --  alcoholism;Alkoholiker/in  --  Alkoholismus;Relationship and problems(MSW);Englisch
an only child;ein Einzelkind;Relationship and problems(MSW);Englisch
appearance;Aussehen, Äußeres;Relationship and problems(MSW);Englisch
argument  --  to argue;Auseinandersetzung  --  sich streiten;Relationship and problems(MSW);Englisch
aunt;Tante;Relationship and problems(MSW);Englisch
authority;hier: Autorität;Relationship and problems(MSW);Englisch
awful;schrecklich;Relationship and problems(MSW);Englisch
awkward;hier: verlegen;Relationship and problems(MSW);Englisch
behaviour  --  to behave (well / badly / …);Verhalten  --  sich (gut / schlecht / …) benehmen;Relationship and problems(MSW);Englisch
boyfriend / girlfriend;fester Freund / feste Freundin;Relationship and problems(MSW);Englisch
brother and sisters;Geschwister;Relationship and problems(MSW);Englisch
brother-in-law / sister-in-law;Schwager / Schwägerin;Relationship and problems(MSW);Englisch
caffeine;Koffein;Relationship and problems(MSW);Englisch
childish;kindisch;Relationship and problems(MSW);Englisch
cigarette;Zigarette;Relationship and problems(MSW);Englisch
cousin;Cousin, Cousine;Relationship and problems(MSW);Englisch
date  --  to date s.o. (AE);Rendezvous  --  mit jdm. (aus)gehen;Relationship and problems(MSW);Englisch
daughter / son;Tochter / Sohn;Relationship and problems(MSW);Englisch
depressed;deprimiert, niedergeschlagen;Relationship and problems(MSW);Englisch
discussion  --  to discuss sth.;Diskussion, Streitgespräch  --  etwas besprechen;Relationship and problems(MSW);Englisch
divorced  --  divorce;geschieden  --  Scheidung;Relationship and problems(MSW);Englisch
drug addict;Drogensüchtige/r;Relationship and problems(MSW);Englisch
drunk;betrunken;Relationship and problems(MSW);Englisch
embarrassed;verlegen, beschämt;Relationship and problems(MSW);Englisch
embarrassing;peinlich;Relationship and problems(MSW);Englisch
generation;Generation;Relationship and problems(MSW);Englisch
glue-sniffing;(Klebstoff-)Schnüffeln;Relationship and problems(MSW);Englisch
godmother  / godfather  --  God the Father (!);Patentante  /  Patenonkel  --  (!)Gottvater (!);Relationship and problems(MSW);Englisch
grandfather / grandpa;Großvater  / Opa;Relationship and problems(MSW);Englisch
grandmother / grandma;Großmutter / Oma;Relationship and problems(MSW);Englisch
grandparents;Großeltern;Relationship and problems(MSW);Englisch
great-aunt  /  great-uncle;Großtante  /  Großonkel;Relationship and problems(MSW);Englisch
great-grandmother / great-grandfather;Urgroßmutter  /  Urgroßvater;Relationship and problems(MSW);Englisch
hairstyle;Frisur;Relationship and problems(MSW);Englisch
half-sister / half-brother;Halbschwester / Halbbruder;Relationship and problems(MSW);Englisch
hangover;Kater;Relationship and problems(MSW);Englisch
harmful  <-->  harmless;schädlich <--> harmlos;Relationship and problems(MSW);Englisch
healthy  --  health;gesund  --  Gesundheit;Relationship and problems(MSW);Englisch
heart-broken  --  to *break s.o.'s heart;untröstlich  --  jdm. das Herz brechen;Relationship and problems(MSW);Englisch
husband;Ehemann;Relationship and problems(MSW);Englisch
I can't stand sth./s.o.;ich kann etwas/jdn. nicht ausstehen;Relationship and problems(MSW);Englisch
I daren't do sth.;ich wage es nicht, etwas zu tun;Relationship and problems(MSW);Englisch
impatient  <-->  patient;ungeduldig  <-->  geduldig;Relationship and problems(MSW);Englisch
independent;unabhängig, selbständig;Relationship and problems(MSW);Englisch
inferior  <--> superior;unterlegen, minderwertig <--> überlegen, hervorragend;Relationship and problems(MSW);Englisch
irresponsible;verantwortungslos;Relationship and problems(MSW);Englisch
it's none of my business;es geht mich nichts an;Relationship and problems(MSW);Englisch
jealous;eifersüchtig;Relationship and problems(MSW);Englisch
love at first sight;Liebe auf den ersten Blick;Relationship and problems(MSW);Englisch
marriage;Ehe;Relationship and problems(MSW);Englisch
married;verheiratet;Relationship and problems(MSW);Englisch
member of the family;Familienmitglied;Relationship and problems(MSW);Englisch
mood  --  moody;Laune  --  launisch;Relationship and problems(MSW);Englisch
