(holiday) resort;Urlaubsort, Ferienort;Lifestyle (MSW);Englisch
(TV) commercial;Fernsehwerbung, Werbespot;Lifestyle (MSW);Englisch
(written) by;von;Lifestyle (MSW);Englisch
a fulfilling job;eine Tätigkeit, in der man Erfüllung findet;Lifestyle (MSW);Englisch
a hold-up;stockender Verkehr;Lifestyle (MSW);Englisch
accident;Unfall;Lifestyle (MSW);Englisch
action;Action, turbulente Handlung;Lifestyle (MSW);Englisch
adaptation  --  to adapt sth.;Adaption, Bearbeitung  --  etwas adaptieren / bearbeiten;Lifestyle (MSW);Englisch
addicted (to sth.);süchtig (nach etwas);Lifestyle (MSW);Englisch
adventure story;Abenteuergeschichte;Lifestyle (MSW);Englisch
adventurous  --  adventure;abenteuerlich  --  Abenteuer;Lifestyle (MSW);Englisch
advertisement;(Werbe-)Anzeige;Lifestyle (MSW);Englisch
advertising;Werbung, Reklame;Lifestyle (MSW);Englisch
agnostic;Agnostiker/in;Lifestyle (MSW);Englisch
aim  --  to aim at sth.;Ziel, Zweck  --  auf etwas (ab)zielen;Lifestyle (MSW);Englisch
aircraft (plur.!);Flugzeug/e, Maschine/n;Lifestyle (MSW);Englisch
airport;Flughafen;Lifestyle (MSW);Englisch
alternative;alternativ;Lifestyle (MSW);Englisch
ambitious;ehrgeizig;Lifestyle (MSW);Englisch
atheist;Atheist/in;Lifestyle (MSW);Englisch
atmosphere;Stimmung;Lifestyle (MSW);Englisch
attitude;Einstellung, Haltung;Lifestyle (MSW);Englisch
au pair;Au-pair-Mädchen/-Junge;Lifestyle (MSW);Englisch
author  =  writer;Schriftsteller/in, Autor/in;Lifestyle (MSW);Englisch
backpacking  --  backpack;Rucksackreisen  --  Rucksack;Lifestyle (MSW);Englisch
baggage reclaim;Gepäckausgabe;Lifestyle (MSW);Englisch
beauty product;Kosmetikartikel;Lifestyle (MSW);Englisch
bedtime story;Gutenachtgeschichte;Lifestyle (MSW);Englisch
belief;Glaube;Lifestyle (MSW);Englisch
bend;Kurve;Lifestyle (MSW);Englisch
best-seller  --  to *sell well;Bestseller  --  sich gut verkaufen;Lifestyle (MSW);Englisch
bicycle pump;Fahrradpumpe;Lifestyle (MSW);Englisch
block of flats;Wohnblock;Lifestyle (MSW);Englisch
boat;Boot;Lifestyle (MSW);Englisch
book token;Geschenkgutschein für ein Buch;Lifestyle (MSW);Englisch
brake  --  to brake;Bremse  --  bremsen;Lifestyle (MSW);Englisch
breakdown;Panne;Lifestyle (MSW);Englisch
Buddhist;Buddhist/in;Lifestyle (MSW);Englisch
bungalow;Bungalow;Lifestyle (MSW);Englisch
business;Geschäft, Betrieb;Lifestyle (MSW);Englisch
busy;beschäftigt;Lifestyle (MSW);Englisch
