excited;aufgeregt;Describing people (MSW);Englisch
beard;Bart;Describing people (MSW);Englisch
modest  <-->  proud;bescheiden  <-->  stolz;Describing people (MSW);Englisch
worried;besorgt;Describing people (MSW);Englisch
 ;blond;Describing people (MSW);Englisch
depressed;deprimiert;Describing people (MSW);Englisch
fat;dick;Describing people (MSW);Englisch
dark-haired;dunkelhaarig;Describing people (MSW);Englisch
thin;dünn;Describing people (MSW);Englisch
honest  <-->  dishonest;ehrlich  <-->  unehrlich;Describing people (MSW);Englisch
lonely;einsam;Describing people (MSW);Englisch
relaxed  <-->  tense;entspannt  <-->  angespannt;Describing people (MSW);Englisch
disappointed;enttäuscht;Describing people (MSW);Englisch
pleased;erfreut, zufrieden;Describing people (MSW);Englisch
out-going  <-->  shy;extravertiert  <-->  schüchtern;Describing people (MSW);Englisch
hard-working  <-->  lazy;fleißig   <-->  faul;Describing people (MSW);Englisch
friendly  <-->  unfriendly;freundlich  <-->  unfreundlich;Describing people (MSW);Englisch
glad;froh;Describing people (MSW);Englisch
happy;froh, glücklich;Describing people (MSW);Englisch
terrible;furchtbar;Describing people (MSW);Englisch
patient  <-->  impatient;geduldig  <-->  ungeduldig;Describing people (MSW);Englisch
cool;gefasst;Describing people (MSW);Englisch
bored;gelangweilt;Describing people (MSW);Englisch
tall;groß;Describing people (MSW);Englisch
generous  <-->  mean;"großzügig; wohlwollend  <-->  kleinlich, geizig; gemein";Describing people (MSW);Englisch
well-dressed;gut angezogen;Describing people (MSW);Englisch
good-looking;gut aussehend;Describing people (MSW);Englisch
ugly;hässlich;Describing people (MSW);Englisch
helpful  <-->  unhelpful;hilfsbereit  <-->  wenig hilfsbereit;Describing people (MSW);Englisch
polite  <-->  impolite / rude;höflich  <-->  unhöflich;Describing people (MSW);Englisch
pretty;hübsch;Describing people (MSW);Englisch
interesting  <-->  boring;interessant  <-->  langweilig;Describing people (MSW);Englisch
bald;kahl, glatzköpfig;Describing people (MSW);Englisch
small, short;klein;Describing people (MSW);Englisch
clever, smart  <-->  stupid;klug, schlau  <-->  dumm, blöd;Describing people (MSW);Englisch
funny;komisch;Describing people (MSW);Englisch
straight-haired;mit glatten Haaren;Describing people (MSW);Englisch
curly-haired;mit lockigen Haaren;Describing people (MSW);Englisch
tired;müde;Describing people (MSW);Englisch
thoughtful  <-->  thoughtless;nachdenklich  <-->  gedankenlos;Describing people (MSW);Englisch
nervous;nervös;Describing people (MSW);Englisch
nice  <-->  nasty;nett  <-->  gemein, ekelhaft;Describing people (MSW);Englisch
kind  <-->  cruel;nett, lieb  <-->  grausam;Describing people (MSW);Englisch
optimistic  <-->  pessimistic;optimistisch  <-->  pessimistisch;Describing people (MSW);Englisch
positive  <-->  negative;positiv  <-->  negativ;Describing people (MSW);Englisch
quiet  <-->  loud / noisy;ruhig  <-->  laut;Describing people (MSW);Englisch
smart;schick, flott;Describing people (MSW);Englisch
slim;schlank;Describing people (MSW);Englisch
moustache;Schnurbart;Describing people (MSW);Englisch
beautiful;schön;Describing people (MSW);Englisch
awful, horrible;schrecklich;Describing people (MSW);Englisch
confident;selbstsicher;Describing people (MSW);Englisch
well-built;stämmig;Describing people (MSW);Englisch
strong  <-->  weak;stark  <-->  schwach;Describing people (MSW);Englisch
brave;tapfer;Describing people (MSW);Englisch
unhappy / sad;traurig;Describing people (MSW);Englisch
overweight;übergewichtig;Describing people (MSW);Englisch
surprised;überrascht;Describing people (MSW);Englisch
unselfish  <-->  selfish;uneigennützig  <-->  egoistisch;Describing people (MSW);Englisch
annoyed;verärgert;Describing people (MSW);Englisch
embarrassed;verlegen;Describing people (MSW);Englisch
sensible  <-->  silly;vernünftig  <-->  albern;Describing people (MSW);Englisch
crazy;verrückt;Describing people (MSW);Englisch
careful  <-->  careless;vorsichtig, sorgfältig  <-->  leichtsinnig, nachlässig;Describing people (MSW);Englisch
angry;wütend;Describing people (MSW);Englisch
